sample_idx,fraction,mode,true_label,base_pred,masked_pred,score_before,score_after,score_drop,flipped,dataset,model
0,0.05,top,9,9,0,-0.2401108853636385,-0.422451329248721,0.1823404438850824,1.0,ACSF1,HYDRA
0,0.05,bottom,9,9,0,-0.2401108853636385,-0.4020842068541748,0.1619733214905362,1.0,ACSF1,HYDRA
0,0.05,random,9,9,6,-0.2401108853636385,,0.2115283259731828,0.6666666666666666,ACSF1,HYDRA
0,0.1,top,9,9,0,-0.2401108853636385,-0.4901412566621902,0.2500303712985516,1.0,ACSF1,HYDRA
0,0.1,bottom,9,9,0,-0.2401108853636385,-0.3847397664793197,0.1446288811156811,1.0,ACSF1,HYDRA
0,0.1,random,9,9,0,-0.2401108853636385,,0.3238147437012694,1.0,ACSF1,HYDRA
0,0.2,top,9,9,0,-0.2401108853636385,-0.3601769795186839,0.1200660941550453,1.0,ACSF1,HYDRA
0,0.2,bottom,9,9,0,-0.2401108853636385,-0.4231454756481068,0.1830345902844682,1.0,ACSF1,HYDRA
0,0.2,random,9,9,0,-0.2401108853636385,,0.2257972310969882,1.0,ACSF1,HYDRA
1,0.05,top,9,9,9,0.1025259311257517,0.0483138794439487,0.0542120516818029,0.0,ACSF1,HYDRA
1,0.05,bottom,9,9,8,0.1025259311257517,-0.3646270717117456,0.4671530028374973,1.0,ACSF1,HYDRA
1,0.05,random,9,9,9,0.1025259311257517,,0.2728319592245907,0.3333333333333333,ACSF1,HYDRA
1,0.1,top,9,9,9,0.1025259311257517,0.0525698139269726,0.049956117198779,0.0,ACSF1,HYDRA
1,0.1,bottom,9,9,0,0.1025259311257517,-0.4724408951338216,0.5749668262595733,1.0,ACSF1,HYDRA
1,0.1,random,9,9,3,0.1025259311257517,,0.234973065239037,0.6666666666666666,ACSF1,HYDRA
1,0.2,top,9,9,9,0.1025259311257517,-0.1497367649710402,0.2522626960967919,0.0,ACSF1,HYDRA
1,0.2,bottom,9,9,0,0.1025259311257517,-0.5744005251987534,0.6769264563245051,1.0,ACSF1,HYDRA
1,0.2,random,9,9,0,0.1025259311257517,,0.4648414637037056,1.0,ACSF1,HYDRA
2,0.05,top,9,9,8,-0.2066174663908235,-0.4333874764076377,0.2267700100168141,1.0,ACSF1,HYDRA
2,0.05,bottom,9,9,0,-0.2066174663908235,-0.3867469637112781,0.1801294973204545,1.0,ACSF1,HYDRA
2,0.05,random,9,9,9,-0.2066174663908235,,0.1202606406826011,0.3333333333333333,ACSF1,HYDRA
2,0.1,top,9,9,0,-0.2066174663908235,-0.5774401781518013,0.3708227117609777,1.0,ACSF1,HYDRA
2,0.1,bottom,9,9,0,-0.2066174663908235,-0.424268211402409,0.2176507450115854,1.0,ACSF1,HYDRA
2,0.1,random,9,9,6,-0.2066174663908235,,0.2430279232365398,0.3333333333333333,ACSF1,HYDRA
2,0.2,top,9,9,0,-0.2066174663908235,-0.6188749831469242,0.4122575167561007,1.0,ACSF1,HYDRA
2,0.2,bottom,9,9,0,-0.2066174663908235,-0.5504341105717496,0.343816644180926,1.0,ACSF1,HYDRA
2,0.2,random,9,9,0,-0.2066174663908235,,0.4031942028636293,1.0,ACSF1,HYDRA
3,0.05,top,9,9,9,0.3065167550103013,0.2661995295542044,0.0403172254560968,0.0,ACSF1,HYDRA
3,0.05,bottom,9,9,9,0.3065167550103013,-0.0219878962851897,0.328504651295491,0.0,ACSF1,HYDRA
3,0.05,random,9,9,9,0.3065167550103013,,0.3212499364060144,0.0,ACSF1,HYDRA
3,0.1,top,9,9,9,0.3065167550103013,0.2525388595883778,0.0539778954219234,0.0,ACSF1,HYDRA
3,0.1,bottom,9,9,9,0.3065167550103013,-0.0557623987166904,0.3622791537269917,0.0,ACSF1,HYDRA
3,0.1,random,9,9,8,0.3065167550103013,,0.5098898643741411,0.3333333333333333,ACSF1,HYDRA
3,0.2,top,9,9,9,0.3065167550103013,-0.0293354005041696,0.3358521555144709,0.0,ACSF1,HYDRA
3,0.2,bottom,9,9,0,0.3065167550103013,-0.4502853325857789,0.7568020875960803,1.0,ACSF1,HYDRA
3,0.2,random,9,9,6,0.3065167550103013,,0.5456105646877005,0.3333333333333333,ACSF1,HYDRA
4,0.05,top,9,9,8,0.0572924128298165,-0.3084118390979523,0.3657042519277688,1.0,ACSF1,HYDRA
4,0.05,bottom,9,9,9,0.0572924128298165,-0.3108502123418792,0.3681426251716958,0.0,ACSF1,HYDRA
4,0.05,random,9,9,9,0.0572924128298165,,0.1594426215953694,0.0,ACSF1,HYDRA
4,0.1,top,9,9,0,0.0572924128298165,-0.3514359745736412,0.4087283874034577,1.0,ACSF1,HYDRA
4,0.1,bottom,9,9,0,0.0572924128298165,-0.3586842655845835,0.4159766784144001,1.0,ACSF1,HYDRA
4,0.1,random,9,9,6,0.0572924128298165,,0.3524646399700888,0.3333333333333333,ACSF1,HYDRA
4,0.2,top,9,9,0,0.0572924128298165,-0.4566724597471558,0.5139648725769724,1.0,ACSF1,HYDRA
4,0.2,bottom,9,9,0,0.0572924128298165,-0.4639849204085653,0.5212773332383819,1.0,ACSF1,HYDRA
4,0.2,random,9,9,3,0.0572924128298165,,0.5047145485871507,0.6666666666666666,ACSF1,HYDRA
5,0.05,top,9,9,9,0.1154866844448591,-0.080391641757521,0.1958783262023801,0.0,ACSF1,HYDRA
5,0.05,bottom,9,9,9,0.1154866844448591,0.0355461267268726,0.0799405577179864,0.0,ACSF1,HYDRA
5,0.05,random,9,9,9,0.1154866844448591,,0.2572698671014636,0.0,ACSF1,HYDRA
5,0.1,top,9,9,9,0.1154866844448591,-0.1430523890013483,0.2585390734462074,0.0,ACSF1,HYDRA
5,0.1,bottom,9,9,9,0.1154866844448591,0.0540662513044641,0.0614204331403949,0.0,ACSF1,HYDRA
5,0.1,random,9,9,6,0.1154866844448591,,0.2124549494995197,0.3333333333333333,ACSF1,HYDRA
5,0.2,top,9,9,0,0.1154866844448591,-0.1232635114576322,0.2387501959024913,1.0,ACSF1,HYDRA
5,0.2,bottom,9,9,0,0.1154866844448591,-0.1205322323635537,0.2360189168084128,1.0,ACSF1,HYDRA
5,0.2,random,9,9,0,0.1154866844448591,,0.5026960329479285,1.0,ACSF1,HYDRA
6,0.05,top,9,9,8,-0.1337836417162635,-0.2798552352815489,0.1460715935652853,1.0,ACSF1,HYDRA
6,0.05,bottom,9,9,8,-0.1337836417162635,-0.4412813129776466,0.307497671261383,1.0,ACSF1,HYDRA
6,0.05,random,9,9,7,-0.1337836417162635,,0.2609679104270818,1.0,ACSF1,HYDRA
6,0.1,top,9,9,0,-0.1337836417162635,-0.47998246168956,0.3461988199732965,1.0,ACSF1,HYDRA
6,0.1,bottom,9,9,5,-0.1337836417162635,-0.4540296594954577,0.3202460177791942,1.0,ACSF1,HYDRA
6,0.1,random,9,9,3,-0.1337836417162635,,0.2122149361821999,0.6666666666666666,ACSF1,HYDRA
6,0.2,top,9,9,0,-0.1337836417162635,-0.6260863297575766,0.492302688041313,1.0,ACSF1,HYDRA
6,0.2,bottom,9,9,0,-0.1337836417162635,-0.7475881140328424,0.6138044723165789,1.0,ACSF1,HYDRA
6,0.2,random,9,9,3,-0.1337836417162635,,0.3489274978141961,0.6666666666666666,ACSF1,HYDRA
7,0.05,top,9,9,8,0.205087346440609,-0.2405317776082961,0.4456191240489051,1.0,ACSF1,HYDRA
7,0.05,bottom,9,9,9,0.205087346440609,-0.3140600552871538,0.5191474017277629,0.0,ACSF1,HYDRA
7,0.05,random,9,9,9,0.205087346440609,,0.3777566638277401,0.3333333333333333,ACSF1,HYDRA
7,0.1,top,9,9,0,0.205087346440609,-0.3877387212330153,0.5928260676736243,1.0,ACSF1,HYDRA
7,0.1,bottom,9,9,0,0.205087346440609,-0.4006193776478957,0.6057067240885047,1.0,ACSF1,HYDRA
7,0.1,random,9,9,6,0.205087346440609,,0.4454259803591618,0.3333333333333333,ACSF1,HYDRA
7,0.2,top,9,9,9,0.205087346440609,-0.128705835639771,0.33379318208038,0.0,ACSF1,HYDRA
7,0.2,bottom,9,9,0,0.205087346440609,-0.5257272336191865,0.7308145800597955,1.0,ACSF1,HYDRA
7,0.2,random,9,9,0,0.205087346440609,,0.512039518938905,1.0,ACSF1,HYDRA
8,0.05,top,9,9,9,0.5253975945134909,0.2901592061745065,0.2352383883389843,0.0,ACSF1,HYDRA
8,0.05,bottom,9,9,9,0.5253975945134909,-0.1370039321971345,0.6624015267106255,0.0,ACSF1,HYDRA
8,0.05,random,9,9,9,0.5253975945134909,,0.4805637282414083,0.0,ACSF1,HYDRA
8,0.1,top,9,9,9,0.5253975945134909,0.2321613553358722,0.2932362391776186,0.0,ACSF1,HYDRA
8,0.1,bottom,9,9,0,0.5253975945134909,-0.0836266892109657,0.6090242837244566,1.0,ACSF1,HYDRA
8,0.1,random,9,9,3,0.5253975945134909,,0.5723168883026584,0.6666666666666666,ACSF1,HYDRA
8,0.2,top,9,9,0,0.5253975945134909,0.1338209404104932,0.3915766541029977,1.0,ACSF1,HYDRA
8,0.2,bottom,9,9,0,0.5253975945134909,-0.2474570294937288,0.7728546240072197,1.0,ACSF1,HYDRA
8,0.2,random,9,9,3,0.5253975945134909,,0.6751072330982172,0.6666666666666666,ACSF1,HYDRA
9,0.05,top,9,9,9,-0.078696279882108,-0.2848057710768703,0.2061094911947623,0.0,ACSF1,HYDRA
9,0.05,bottom,9,9,9,-0.078696279882108,-0.1477047934402643,0.0690085135581562,0.0,ACSF1,HYDRA
9,0.05,random,9,9,9,-0.078696279882108,,0.177538358543463,0.3333333333333333,ACSF1,HYDRA
9,0.1,top,9,9,0,-0.078696279882108,-0.4502566685598603,0.3715603886777523,1.0,ACSF1,HYDRA
9,0.1,bottom,9,9,9,-0.078696279882108,-0.2942154792243482,0.2155191993422401,0.0,ACSF1,HYDRA
9,0.1,random,9,9,3,-0.078696279882108,,0.3263952265620318,0.6666666666666666,ACSF1,HYDRA
9,0.2,top,9,9,0,-0.078696279882108,-0.6263482349233724,0.5476519550412644,1.0,ACSF1,HYDRA
9,0.2,bottom,9,9,1,-0.078696279882108,-0.4901337707384077,0.4114374908562997,1.0,ACSF1,HYDRA
9,0.2,random,9,9,3,-0.078696279882108,,0.4542720816597867,0.6666666666666666,ACSF1,HYDRA
10,0.05,top,3,3,3,0.1215839356285964,-0.3791991683927733,0.5007831040213698,0.0,ACSF1,HYDRA
10,0.05,bottom,3,3,3,0.1215839356285964,0.0987949845726799,0.0227889510559164,0.0,ACSF1,HYDRA
10,0.05,random,3,3,7,0.1215839356285964,,0.3121542395091648,1.0,ACSF1,HYDRA
10,0.1,top,3,3,0,0.1215839356285964,-0.1847674758810678,0.3063514115096643,1.0,ACSF1,HYDRA
10,0.1,bottom,3,3,3,0.1215839356285964,0.131714909964224,-0.0101309743356275,0.0,ACSF1,HYDRA
10,0.1,random,3,3,4,0.1215839356285964,,0.2088534342863247,0.3333333333333333,ACSF1,HYDRA
10,0.2,top,3,3,0,0.1215839356285964,-0.0717973937550168,0.1933813293836133,1.0,ACSF1,HYDRA
10,0.2,bottom,3,3,3,0.1215839356285964,0.1572672754375718,-0.0356833398089753,0.0,ACSF1,HYDRA
10,0.2,random,3,3,0,0.1215839356285964,,0.1492662254735327,1.0,ACSF1,HYDRA
11,0.05,top,3,3,3,0.7014108283579178,0.4827867778454014,0.2186240505125163,0.0,ACSF1,HYDRA
11,0.05,bottom,3,3,3,0.7014108283579178,0.529501792620071,0.1719090357378467,0.0,ACSF1,HYDRA
11,0.05,random,3,3,3,0.7014108283579178,,0.2707220127847385,0.0,ACSF1,HYDRA
11,0.1,top,3,3,3,0.7014108283579178,0.395545763771094,0.3058650645868237,0.0,ACSF1,HYDRA
11,0.1,bottom,3,3,3,0.7014108283579178,0.5293591440657447,0.1720516842921731,0.0,ACSF1,HYDRA
11,0.1,random,3,3,3,0.7014108283579178,,0.2676090187673174,0.0,ACSF1,HYDRA
11,0.2,top,3,3,3,0.7014108283579178,0.2640232755588175,0.4373875527991002,0.0,ACSF1,HYDRA
11,0.2,bottom,3,3,3,0.7014108283579178,0.5536264682800994,0.1477843600778183,0.0,ACSF1,HYDRA
11,0.2,random,3,3,3,0.7014108283579178,,0.1982379520504459,0.0,ACSF1,HYDRA
12,0.05,top,3,3,3,0.781479056949787,0.2922482939350651,0.4892307630147219,0.0,ACSF1,HYDRA
12,0.05,bottom,3,3,3,0.781479056949787,0.541077547559787,0.24040150939,0.0,ACSF1,HYDRA
12,0.05,random,3,3,3,0.781479056949787,,0.3834616825081438,0.0,ACSF1,HYDRA
12,0.1,top,3,3,3,0.781479056949787,0.2280259960049838,0.5534530609448032,0.0,ACSF1,HYDRA
12,0.1,bottom,3,3,3,0.781479056949787,0.5551429702672203,0.2263360866825667,0.0,ACSF1,HYDRA
12,0.1,random,3,3,3,0.781479056949787,,0.2792289740453805,0.0,ACSF1,HYDRA
12,0.2,top,3,3,3,0.781479056949787,0.2866292653025771,0.4948497916472099,0.0,ACSF1,HYDRA
12,0.2,bottom,3,3,3,0.781479056949787,0.664945361862637,0.11653369508715,0.0,ACSF1,HYDRA
