sample_idx,fraction,mode,true_label,base_pred,masked_pred,score_before,score_after,score_drop,flipped,dataset,model
0,0.05,bottom,7,7,7,8.313056134301826,6.82032831578303,1.4927278185187962,0.0,Adiac,MrSQM
0,0.05,random,7,7,7,8.313056134301826,,3.866650310448058,0.0,Adiac,MrSQM
0,0.05,top,7,7,7,8.313056134301826,5.2999634572660765,3.0130926770357496,0.0,Adiac,MrSQM
0,0.1,bottom,7,7,7,8.313056134301826,6.482125666905852,1.8309304673959736,0.0,Adiac,MrSQM
0,0.1,random,7,7,7,8.313056134301826,,3.493808325390468,0.0,Adiac,MrSQM
0,0.1,top,7,7,7,8.313056134301826,4.697890937051296,3.61516519725053,0.0,Adiac,MrSQM
0,0.2,bottom,7,7,7,8.313056134301826,3.505662475913158,4.807393658388668,0.0,Adiac,MrSQM
0,0.2,random,7,7,23,8.313056134301826,,5.041804621432256,1.0,Adiac,MrSQM
0,0.2,top,7,7,7,8.313056134301826,4.456464911778008,3.856591222523818,0.0,Adiac,MrSQM
1,0.05,bottom,29,29,29,9.46921788483336,8.781665568180488,0.687552316652873,0.0,Adiac,MrSQM
1,0.05,random,29,29,29,9.46921788483336,,2.1122800495186684,0.0,Adiac,MrSQM
1,0.05,top,29,29,29,9.46921788483336,6.052460990598094,3.416756894235266,0.0,Adiac,MrSQM
1,0.1,bottom,29,29,29,9.46921788483336,8.213106996073705,1.2561108887596557,0.0,Adiac,MrSQM
1,0.1,random,29,29,29,9.46921788483336,,4.736206073206113,0.0,Adiac,MrSQM
1,0.1,top,29,29,29,9.46921788483336,4.90497464316296,4.564243241670401,0.0,Adiac,MrSQM
1,0.2,bottom,29,29,29,9.46921788483336,6.765605592207351,2.70361229262601,0.0,Adiac,MrSQM
1,0.2,random,29,29,34,9.46921788483336,,5.753668864913499,0.6666666666666666,Adiac,MrSQM
1,0.2,top,29,29,36,9.46921788483336,4.368681824882459,5.100536059950902,1.0,Adiac,MrSQM
2,0.05,bottom,27,27,27,8.119868211068827,7.015131806470972,1.1047364045978547,0.0,Adiac,MrSQM
2,0.05,random,27,27,27,8.119868211068827,,3.2237346273264933,0.0,Adiac,MrSQM
2,0.05,top,27,27,27,8.119868211068827,5.46265845826091,2.6572097528079164,0.0,Adiac,MrSQM
2,0.1,bottom,27,27,27,8.119868211068827,6.805807140201518,1.314061070867309,0.0,Adiac,MrSQM
2,0.1,random,27,27,27,8.119868211068827,,2.6363200892153413,0.0,Adiac,MrSQM
2,0.1,top,27,27,27,8.119868211068827,5.1052786855270575,3.014589525541769,0.0,Adiac,MrSQM
2,0.2,bottom,27,27,27,8.119868211068827,6.154173926718275,1.965694284350552,0.0,Adiac,MrSQM
2,0.2,random,27,27,30,8.119868211068827,,3.983926354244285,0.3333333333333333,Adiac,MrSQM
2,0.2,top,27,27,27,8.119868211068827,4.483362709319937,3.63650550174889,0.0,Adiac,MrSQM
3,0.05,bottom,14,14,14,5.930804659793101,6.0070509000875445,-0.0762462402944432,0.0,Adiac,MrSQM
3,0.05,random,14,14,14,5.930804659793101,,1.621525885573447,0.0,Adiac,MrSQM
3,0.05,top,14,14,14,5.930804659793101,4.116255178488166,1.814549481304935,0.0,Adiac,MrSQM
3,0.1,bottom,14,14,14,5.930804659793101,5.220998877364045,0.709805782429056,0.0,Adiac,MrSQM
3,0.1,random,14,14,14,5.930804659793101,,1.7132370163507316,0.0,Adiac,MrSQM
3,0.1,top,14,14,14,5.930804659793101,3.978577620027581,1.95222703976552,0.0,Adiac,MrSQM
3,0.2,bottom,14,14,36,5.930804659793101,3.8818509299154464,2.048953729877655,1.0,Adiac,MrSQM
3,0.2,random,14,14,20,5.930804659793101,,1.8953882794639,0.3333333333333333,Adiac,MrSQM
3,0.2,top,14,14,14,5.930804659793101,2.965091580124559,2.965713079668542,0.0,Adiac,MrSQM
4,0.05,bottom,7,7,7,5.604051086369879,4.910843095760737,0.6932079906091415,0.0,Adiac,MrSQM
4,0.05,random,7,7,17,5.604051086369879,,2.280592172696639,0.3333333333333333,Adiac,MrSQM
4,0.05,top,7,7,35,5.604051086369879,1.628191115083694,3.9758599712861846,1.0,Adiac,MrSQM
4,0.1,bottom,7,7,7,5.604051086369879,4.570613534901815,1.0334375514680634,0.0,Adiac,MrSQM
4,0.1,random,7,7,19,5.604051086369879,,3.068044743507645,0.6666666666666666,Adiac,MrSQM
4,0.1,top,7,7,20,5.604051086369879,1.8244859035393828,3.779565182830496,1.0,Adiac,MrSQM
4,0.2,bottom,7,7,7,5.604051086369879,4.239223915892727,1.3648271704771515,0.0,Adiac,MrSQM
4,0.2,random,7,7,34,5.604051086369879,,3.13432134935932,1.0,Adiac,MrSQM
4,0.2,top,7,7,35,5.604051086369879,1.536502097963132,4.067548988406747,1.0,Adiac,MrSQM
6,0.05,bottom,16,16,16,10.845881088153886,9.400538616046806,1.4453424721070809,0.0,Adiac,MrSQM
6,0.05,random,16,16,16,10.845881088153886,,1.596122435138786,0.0,Adiac,MrSQM
6,0.05,top,16,16,16,10.845881088153886,7.081336082052821,3.7645450061010655,0.0,Adiac,MrSQM
6,0.1,bottom,16,16,16,10.845881088153886,10.213923867959815,0.6319572201940691,0.0,Adiac,MrSQM
6,0.1,random,16,16,16,10.845881088153886,,3.4724594536590523,0.0,Adiac,MrSQM
6,0.1,top,16,16,16,10.845881088153886,6.923799364151104,3.922081724002783,0.0,Adiac,MrSQM
6,0.2,bottom,16,16,16,10.845881088153886,9.504186628436692,1.3416944597171945,0.0,Adiac,MrSQM
6,0.2,random,16,16,16,10.845881088153886,,5.073825570172612,0.0,Adiac,MrSQM
6,0.2,top,16,16,16,10.845881088153886,6.3560542923655285,4.489826795788358,0.0,Adiac,MrSQM
7,0.05,bottom,11,11,11,10.729698556145326,9.558584823113158,1.1711137330321684,0.0,Adiac,MrSQM
7,0.05,random,11,11,8,10.729698556145326,,5.567553660554725,0.3333333333333333,Adiac,MrSQM
7,0.05,top,11,11,11,10.729698556145326,7.888991990786295,2.8407065653590307,0.0,Adiac,MrSQM
7,0.1,bottom,11,11,11,10.729698556145326,9.68923105177822,1.040467504367106,0.0,Adiac,MrSQM
7,0.1,random,11,11,11,10.729698556145326,,2.9423641204563222,0.0,Adiac,MrSQM
7,0.1,top,11,11,11,10.729698556145326,7.034560444824382,3.695138111320945,0.0,Adiac,MrSQM
7,0.2,bottom,11,11,33,10.729698556145326,2.5641540890185808,8.165544467126745,1.0,Adiac,MrSQM
7,0.2,random,11,11,18,10.729698556145326,,4.749194003308973,0.3333333333333333,Adiac,MrSQM
7,0.2,top,11,11,11,10.729698556145326,7.108638017207729,3.6210605389375976,0.0,Adiac,MrSQM
