sample_idx,fraction,mode,true_label,base_pred,masked_pred,score_before,score_after,score_drop,flipped,dataset,model
0,0.05,top,9,9,7,5.590071216047212,5.9712010692990685,-0.3811298532518563,1.0,ACSF1,LR
0,0.05,bottom,9,9,9,5.590071216047212,6.43952891538115,-0.8494576993339376,0.0,ACSF1,LR
0,0.05,random,9,9,9,5.590071216047212,,-1.6054405134123624,0.0,ACSF1,LR
0,0.1,top,9,9,7,5.590071216047212,9.21024131365719,-3.620170097609978,1.0,ACSF1,LR
0,0.1,bottom,9,9,5,5.590071216047212,5.888459166804349,-0.298387950757137,1.0,ACSF1,LR
0,0.1,random,9,9,4,5.590071216047212,,-0.0340972840701775,1.0,ACSF1,LR
0,0.2,top,9,9,7,5.590071216047212,11.081269963250309,-5.4911987472030965,1.0,ACSF1,LR
0,0.2,bottom,9,9,5,5.590071216047212,5.345853999768648,0.2442172162785638,1.0,ACSF1,LR
0,0.2,random,9,9,4,5.590071216047212,,-2.686218080154561,1.0,ACSF1,LR
1,0.05,top,9,9,7,4.307021882356503,4.833518354193233,-0.5264964718367295,1.0,ACSF1,LR
1,0.05,bottom,9,9,5,4.307021882356503,5.156827072665234,-0.8498051903087305,1.0,ACSF1,LR
1,0.05,random,9,9,7,4.307021882356503,,-1.868403913574136,0.6666666666666666,ACSF1,LR
1,0.1,top,9,9,7,4.307021882356503,8.249017776421452,-3.9419958940649487,1.0,ACSF1,LR
1,0.1,bottom,9,9,5,4.307021882356503,4.606171239296106,-0.2991493569396031,1.0,ACSF1,LR
1,0.1,random,9,9,9,4.307021882356503,,-4.696531298615473,0.0,ACSF1,LR
1,0.2,top,9,9,7,4.307021882356503,10.352808339089432,-6.04578645673293,1.0,ACSF1,LR
1,0.2,bottom,9,9,5,4.307021882356503,4.009740060804036,0.2972818215524668,1.0,ACSF1,LR
1,0.2,random,9,9,3,4.307021882356503,,-3.638510680067256,1.0,ACSF1,LR
2,0.05,top,9,9,7,4.674510301400286,5.187017908667709,-0.5125076072674233,1.0,ACSF1,LR
2,0.05,bottom,9,9,5,4.674510301400286,5.527198956427009,-0.8526886550267232,1.0,ACSF1,LR
2,0.05,random,9,9,8,4.674510301400286,,-0.1886239979487237,0.3333333333333333,ACSF1,LR
2,0.1,top,9,9,7,4.674510301400286,8.54544606147701,-3.870935760076725,1.0,ACSF1,LR
2,0.1,bottom,9,9,5,4.674510301400286,4.981555828605284,-0.3070455272049983,1.0,ACSF1,LR
2,0.1,random,9,9,6,4.674510301400286,,-1.0071212392248998,1.0,ACSF1,LR
2,0.2,top,9,9,7,4.674510301400286,10.613212244646656,-5.93870194324637,1.0,ACSF1,LR
2,0.2,bottom,9,9,5,4.674510301400286,4.432060388733925,0.2424499126663608,1.0,ACSF1,LR
2,0.2,random,9,9,3,4.674510301400286,,-3.549413910276718,1.0,ACSF1,LR
3,0.05,top,9,9,7,4.791207801129074,5.25725548785581,-0.4660476867267356,1.0,ACSF1,LR
3,0.05,bottom,9,9,5,4.791207801129074,5.645620641785969,-0.8544128406568952,1.0,ACSF1,LR
3,0.05,random,9,9,8,4.791207801129074,,-0.2029435347366922,0.3333333333333333,ACSF1,LR
3,0.1,top,9,9,7,4.791207801129074,8.586333923605553,-3.79512612247648,1.0,ACSF1,LR
3,0.1,bottom,9,9,5,4.791207801129074,5.097780748736769,-0.3065729476076946,1.0,ACSF1,LR
