dataset,series_length,n_instances,n_classes,log_series_length,log_n_instances,class_centroid_distance,normalized_centroid_separation,variance,mean_abs_diff,mean_abs_second_diff,spectral_entropy,spectral_centroid,low_freq_energy_ratio,spike_ratio,zero_crossing_rate,acf_lag1,acf_lag5,acf_lag10,skewness,kurtosis
ACSF1,1460,200,10,7.2868764117507,5.303304908059076,11.608600311088455,1.0342918493987006,1.0000000125169755,1.1603036788105965,2.111698042154312,1.3344017256399294,0.33115805848215585,0.03208266675154855,0.002780821917808219,0.5060623714873201,-0.20031577425076222,-0.20137809234291246,-0.44852089425848,1.4724725009222976,3.9628755286688033
Adiac,176,781,37,5.176149732573829,6.661854740545311,1.9946571323469153,2.384068796356243,0.9999999765702613,0.07097245004891434,0.012054208222485688,0.12625361168774227,0.011705272321378175,0.9997594996142293,1.4550110580840415e-05,0.022915675873422352,0.9969688519764076,0.9261567912796631,0.7131116222540256,0.20492180217328046,-1.2675787975372566
AllGestureWiimoteX,500,1000,10,6.2166061010848646,6.90875477931522,3.4337803606799215,0.42534595518544427,1.0000000169873238,0.10846798292174935,0.13340176313742996,3.2780532370462026,0.03989086906529197,0.9360480558094275,0.047682000000000016,0.38731062124248494,0.9398311112991163,0.4453326218053295,0.1113923048647022,-0.14502631606978222,17.414752159064292
AllGestureWiimoteY,500,1000,10,6.2166061010848646,6.90875477931522,4.124988241095803,0.5561402822508639,1.000000015795231,0.08166827735304832,0.10298557886481285,3.063175260390748,0.028567852772883127,0.9678287217087571,0.04750000000000001,0.3816973947895791,0.9670661533831411,0.662181624777183,0.25629133743007754,1.1558489673030907,15.31666690954901
AllGestureWiimoteZ,500,1000,10,6.2166061010848646,6.90875477931522,3.7727856515197167,0.5961915527682626,1.0000000153183937,0.1041144538782537,0.12892509384453296,3.241758815273369,0.03757159248203315,0.9382888304651159,0.05136800000000001,0.34658717434869746,0.9447599303519204,0.5087238183976197,0.13321549199025265,-0.21454528889260438,16.58507785133625
ArrowHead,251,211,3,5.529429087511423,5.356586274672012,4.53210394297687,1.1329813900541021,0.9999999940677842,0.05460483889797287,0.03339659449119139,0.5607820532512918,0.009327828363606294,0.9995461319961132,5.664545609033062e-05,0.01846445497630332,0.9975792794255192,0.9476307665564913,0.7990940165788688,-0.21001088147337194,-1.1265815464766247
BME,128,180,3,4.859812404361672,5.198497031265826,5.847638270798172,1.0418573318394653,0.9999999996688631,0.06897967886179686,0.061386545188724995,1.0816988600067423,0.01575746726952937,0.9896099943603502,0.0008680555555555555,0.02099737532808399,0.9878044176121541,0.8179888136292435,0.6061156366235555,0.24035024110341482,-1.5330316048550463
Beef,470,60,5,6.154858094016418,4.110873864173311,10.24757083207699,1.4586941412864562,1.0000000506639481,0.03707702765241265,0.022462024663885433,1.700174320446112,0.007495520154656017,0.9971223015183411,0.017340425531914894,0.021321961620469083,0.9978789819749234,0.9599571131130368,0.8745016757184949,-0.19606250206439857,0.6012144928594694
BeetleFly,512,40,2,6.240275845170769,3.713572066704308,10.319757272912481,0.5015808263359063,1.0000000178813935,0.08798922225832939,0.029972273856401443,2.0404370260311424,0.012133871937696864,0.9992141585435274,0.000244140625,0.03287671232876712,0.9954543064292837,0.9009119740096831,0.6623983421149793,0.14946653669860685,-0.6859811511830756
BirdChicken,512,40,2,6.240275845170769,3.713572066704308,9.956553347005354,0.5642675276980132,1.0000000178813935,0.04021774842403829,0.025104053760878743,1.193102250764281,0.005758157979512921,0.9996692616968899,0.005029296875,0.015166340508806261,0.9988675624168593,0.9789986718531438,0.9230955387473138,-0.00392077592822924,-0.5437280359758191
