dataset,series_length,n_instances,n_classes,log_series_length,log_n_instances,class_centroid_distance,normalized_centroid_separation,variance,mean_abs_diff,mean_abs_second_diff,spectral_entropy,spectral_centroid,low_freq_energy_ratio,spike_ratio,zero_crossing_rate,acf_lag1,acf_lag5,acf_lag10,skewness,kurtosis,cluster,pca1,pca2
ACSF1,1460,200,10,7.2868764117507,5.303304908059076,11.608600311088455,1.0342918493987006,1.0000000125169757,1.1603036788105965,2.111698042154312,1.3344017298147082,0.3311580622087847,0.0320826669769516,0.0027808219178082,0.5060623714873201,-0.2003157742507622,-0.2013780923429125,-0.4485208942584801,1.4724724905774929,3.9628755497932433,0,10.771607338796011,-2.1891601448978806
Adiac,176,781,37,5.176149732573829,6.661854740545311,1.9946571323469156,2.384068796356243,0.9999999765702612,0.0709724500489143,0.0120542082224856,0.1262536038729277,0.0117052724198138,0.9997595061718578,1.4550110580840416e-05,0.0229156758734223,0.9969688519764076,0.9261567912796632,0.7131116222540256,0.2049218017402821,-1.26757878591706,3,-2.1988940813358497,-0.8272118807787953
AllGestureWiimoteX,500,1000,10,6.2166061010848646,6.90875477931522,3.433780360679921,0.4253459551854442,1.0000000169873238,0.1084679829217493,0.1334017631374299,3.27805324614048,0.0398908690569434,0.9360480561647564,0.047682,0.3873106212424849,0.9398311112991165,0.4453326218053295,0.1113923048647022,-0.1450263107989449,17.414752189397813,3,1.2442165868222894,0.8581732715476035
AllGestureWiimoteY,500,1000,10,6.2166061010848646,6.90875477931522,4.124988241095803,0.5561402822508639,1.000000015795231,0.0816682773530483,0.1029855788648128,3.0631752668619154,0.0285678527625494,0.967828720882535,0.0475,0.3816973947895791,0.967066153383141,0.6621816247771829,0.2562913374300775,1.1558489414141513,15.316666899442671,3,0.7250075203880794,1.2759296079161384
AllGestureWiimoteZ,500,1000,10,6.2166061010848646,6.90875477931522,3.7727856515197167,0.5961915527682626,1.0000000153183937,0.1041144538782537,0.1289250938445329,3.241758828043938,0.0375715925339276,0.9382888320237398,0.051368,0.3465871743486974,0.9447599303519204,0.5087238183976197,0.1332154919902526,-0.2145452840328216,16.585077852249146,3,1.0152646516397439,0.9434902954771618
ArrowHead,251,211,3,5.529429087511423,5.356586274672012,4.53210394297687,1.132981390054102,0.9999999940677842,0.0546048388979728,0.0333965944911913,0.5607820619339061,0.0093278284182449,0.9995461309690612,5.664545609033062e-05,0.0184644549763033,0.9975792794255192,0.9476307665564913,0.7990940165788688,-0.2100108792625756,-1.126581541734849,1,-2.1082532666284304,-0.8027448016221826
BME,128,180,3,4.859812404361672,5.198497031265826,5.847638270798172,1.0418573318394653,0.9999999996688632,0.0689796788617968,0.0613865451887249,1.0816988670163683,0.0157574674068425,0.9896099868747924,0.0008680555555555,0.0209973753280839,0.987804417612154,0.8179888136292435,0.6061156366235555,0.2403502387796632,-1.5330316066741942,1,-1.550717513922393,-0.9411544689979763
Beef,470,60,5,6.154858094016418,4.110873864173311,10.24757083207699,1.4586941412864562,1.000000050663948,0.0370770276524126,0.0224620246638854,1.700174301862717,0.0074955200244266,0.997122271855672,0.0173404255319148,0.021321961620469,0.9978789819749232,0.9599571131130368,0.8745016757184948,-0.1960624968943496,0.6012145121892293,1,-1.9523810436528652,0.4064640273428765
BeetleFly,512,40,2,6.240275845170769,3.713572066704308,10.31975727291248,0.5015808263359063,1.0000000178813937,0.0879892222583293,0.0299722738564014,2.0404370218515395,0.012133871858227,0.999214155972004,0.000244140625,0.0328767123287671,0.995454306429284,0.900911974009683,0.6623983421149793,0.1494665369391441,-0.6859811514616012,1,-1.5656111543748201,0.11876671306443189
BirdChicken,512,40,2,6.240275845170769,3.713572066704308,9.956553347005354,0.5642675276980132,1.0000000178813937,0.0402177484240382,0.0251040537608787,1.1931022718548774,0.0057581579820725,0.9996692791581154,0.005029296875,0.0151663405088062,0.9988675624168591,0.9789986718531442,0.9230955387473138,-0.0039207723457366,-0.5437280386686325,1,-2.159818148560981,0.09674789536515722
