Dataset,Train Size,Test Size,Length,No. of Classes,Type
AbnormalHeartbeat,303,303,3053,5,AUDIO
BinaryHeartbeat,204,205,18530,2,AUDIO
CatsDogs,138,137,14773,2,AUDIO
DuckDuckGeese,60,40,270,5,AUDIO
DucksAndGeese,50,50,236784,5,AUDIO
FruitFlies,17259,17259,5000,3,AUDIO
Heartbeat,204,205,405,2,AUDIO
InsectSound,25000,25000,600,10,AUDIO
InsectWingbeat,25000,25000,0,10,AUDIO
JapaneseVowels,270,370,29,9,AUDIO
MosquitoSound,139883,139883,3750,6,AUDIO
Phoneme,214,1896,1024,39,AUDIO
PhonemeSpectra,3315,3353,217,39,AUDIO
RightWhaleCalls,10934,1962,4000,2,AUDIO
UrbanSound,2713,2712,44100,10,AUDIO
ACSF1,100,100,1460,10,DEVICE
Computers,250,250,720,2,DEVICE
ElectricDevices,8926,7711,96,7,DEVICE
FreezerRegularTrain,150,2850,301,2,DEVICE
FreezerSmallTrain,28,2850,301,2,DEVICE
HouseTwenty,34,101,3000,2,DEVICE
LargeKitchenAppliances,375,375,720,3,DEVICE
PLAID,537,537,0,11,DEVICE
PowerCons,180,180,144,2,DEVICE
RefrigerationDevices,375,375,720,3,DEVICE
ScreenType,375,375,720,3,DEVICE
SmallKitchenAppliances,375,375,720,3,DEVICE
AtrialFibrillation,15,15,640,3,ECG
CardiacArrhythmia,43673,1904,1500,3,ECG
CinCECGTorso,40,1380,1639,4,ECG
ECG200,100,100,96,2,ECG
ECG5000,500,4500,140,5,ECG
ECGFiveDays,23,861,136,2,ECG
NonInvasiveFetalECGThorax1,1800,1965,750,42,ECG
NonInvasiveFetalECGThorax2,1800,1965,750,42,ECG
StandWalkJump,12,15,2500,3,ECG
TwoLeadECG,23,1139,82,2,ECG
Blink,500,450,510,2,EEG
EpilepticSeizures,80,11420,178,2,EEG
EyesOpenShut,56,42,128,2,EEG
FaceDetection,5890,3524,62,2,EEG
FingerMovements,316,100,50,2,EEG
HandMovementDirection,160,74,400,4,EEG
MotorImagery,278,100,3000,2,EEG
SelfRegulationSCP1,268,293,896,2,EEG
SelfRegulationSCP2,200,180,1152,2,EEG
Sleep,478785,90315,178,5,EEG
NerveDamage,163,41,1500,3,EMG
EOGHorizontalSignal,362,362,1250,12,EOG
EOGVerticalSignal,362,362,1250,12,EOG
InsectEPGRegularTrain,62,249,601,3,EPG
InsectEPGSmallTrain,17,249,601,3,EPG
SharePriceIncrease,965,965,60,2,FINANCIAL
AllGestureWiimoteX,300,700,0,10,HAR
AllGestureWiimoteY,300,700,0,10,HAR
AllGestureWiimoteZ,300,700,0,10,HAR
BasicMotions,40,40,100,4,HAR
CounterMovementJump,419,179,4250,3,HAR
Cricket,108,72,1197,12,HAR
CricketX,390,390,300,12,HAR
CricketY,390,390,300,12,HAR
CricketZ,390,390,300,12,HAR
